No.,Vulnerability Title,Vulnerability ID,Severity,Affected Versions,Vulnerability Link
1,skills-install-download can be redirected outside the tools root by rebinding the validated base path,GHSA-vhwf-4x96-vqx2,Moderate,<= 2026.3.7,https://github.com/openclaw/openclaw/security/advisories/GHSA-vhwf-4x96-vqx2
2,MS Teams sender allowlist bypass when route allowlist is configured and sender allowlist is empty,GHSA-g7cr-9h7q-4qxq,Moderate,<= 2026.3.7,https://github.com/openclaw/openclaw/security/advisories/GHSA-g7cr-9h7q-4qxq
3,Dashboard leaked gateway auth material via browser URL/query and localStorage,GHSA-rchv-x836-w7xp,High,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-rchv-x836-w7xp
4,hooks count non-POST requests toward auth lockout,GHSA-6rmx-gvvg-vh6j,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-6rmx-gvvg-vh6j
5,fetch-guard forwards custom authorization headers across cross-origin redirects,GHSA-6mgf-v5j7-45cr,High,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-6mgf-v5j7-45cr
6,Cross-account sender authorization expansion in `/allowlist ... --store` account scoping,GHSA-pjvx-rx66-r3fg,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-pjvx-rx66-r3fg
7,`operator.write` chat.send could reach admin-only config writes,GHSA-hfpr-jhpq-x4rm,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-hfpr-jhpq-x4rm
8,`system.run` env override filtering allowed dangerous helper-command pivots,GHSA-j425-whc4-4jgc,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-j425-whc4-4jgc
9,Sandboxed /acp spawn requests could initialize host ACP sessions,GHSA-9q36-67vc-rrwg,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-9q36-67vc-rrwg
10,system.run allow-always persistence included shell-commented payload tails,GHSA-9q2p-vc84-2rwm,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-9q2p-vc84-2rwm
11,system.run wrapper-depth boundary could skip shell approval gating,GHSA-r6qf-8968-wj9q,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-r6qf-8968-wj9q
12,system.run allowlist approval parsing missed PowerShell encoded-command wrappers,GHSA-3h2q-j2v4-6w5r,Moderate,<= 2026.3.2,https://github.com/openclaw/openclaw/security/advisories/GHSA-3h2q-j2v4-6w5r
13,system.run approvals did not bind mutable script operands across approval and execution,GHSA-8g75-q649-6pv6,Moderate,<= 2026.3.7,https://github.com/openclaw/openclaw/security/advisories/GHSA-8g75-q649-6pv6
14,Discord voice transcript owner-flag omission could expose owner-only tools in mixed-trust channels,GHSA-wpg9-4g4v-f9rc,Moderate,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-wpg9-4g4v-f9rc
15,Node camera URL payload host-binding bypass allowed gateway fetch pivots,GHSA-2858-xg23-26fp,Moderate,>= 2026.2.13 <= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-2858-xg23-26fp
16,ZIP extraction race could write outside destination via parent symlink rebind,GHSA-r54r-wmmq-mh84,Moderate,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-r54r-wmmq-mh84
17,stageSandboxMedia destination symlink traversal can overwrite files outside sandbox workspace,GHSA-cfvj-7rx7-fc7c,Moderate,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-cfvj-7rx7-fc7c
18,Encoded-path auth bypass in plugin `/api/channels` route classification,GHSA-v865-p3gq-hw6m,Moderate,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-v865-p3gq-hw6m
19,web tools strict URL guard could lose DNS pinning when env proxy is configured,GHSA-8mvx-p2r9-r375,High,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mvx-p2r9-r375
20,Node system.run approval hardening wrapper semantic drift can execute unintended local scripts,GHSA-h3rm-6x7g-882f,Moderate,= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-h3rm-6x7g-882f
21,Sandboxed sessions_spawn(runtime="acp") bypassed sandbox inheritance and allowed host ACP initialization,GHSA-474h-prjg-mmw3,High,<=2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-474h-prjg-mmw3
22,Unified root-bound write hardening for browser output and related path-boundary flows,GHSA-3pxq-f3cp-jmxp,Moderate,<= 2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-3pxq-f3cp-jmxp
23,Pre-auth webhook body parsing can enable unauthenticated slow-request DoS,GHSA-x4vp-4235-65hg,Moderate,<=2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-x4vp-4235-65hg
24,skills-install-download: tar.bz2 extraction bypassed archive safety parity checks (local DoS),GHSA-77hf-7fqf-f227,Moderate,<=2026.3.1,https://github.com/openclaw/openclaw/security/advisories/GHSA-77hf-7fqf-f227
25,Browser control startup could continue unauthenticated after auth bootstrap failure,GHSA-vpj2-69hf-rppw,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-vpj2-69hf-rppw
26,Unbounded memory growth in Zalo webhook via query-string key churn (unauthenticated DoS),GHSA-wr6m-jg37-68xh,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-wr6m-jg37-68xh
27,Authorization mismatch allowed write-scope agent runs to reach owner-only tools,GHSA-jr6x-2q95-fh2g,High,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-jr6x-2q95-fh2g
